fullName,season,rel_batting_impact_score,rel_bowling_impact_score
Amit Mishra,2013,9.54,29.19
Amit Mishra,2014,17.58,49.24
Amit Mishra,2015,10.87,36.84
Amit Mishra,2016,10.86,46.48
Amit Mishra,2017,12.19,59.33
Amit Mishra,2018,19.99,54.47
Amit Mishra,2019,12.81,71.34
Amit Mishra,2020,16.47,69.31
Amit Mishra,2021,12.81,68.27
Amit Paunikar,2010,4.34,0.0
Amit Paunikar,2011,0.0,0.0
Amit Singh,2009,0.21,20.25
Amit Singh,2011,0.42,40.5
Amit Singh,2012,0.74,33.36
Amit Uniyal,2010,1.33,9.18
Anand Rajan,2011,0.0,13.98
Anand Rajan,2012,0.0,28.98
Anand Rajan,2013,0.0,21.97
Andre Russell,2012,15.42,9.38
Andre Russell,2013,32.06,2.4
Andre Russell,2014,19.13,0.0
Andre Russell,2015,16.06,4.8
Andre Russell,2016,38.02,18.31
Andre Russell,2018,31.48,14.18
Andre Russell,2019,47.72,13.88
Andre Russell,2020,78.93,23.53
Andre Russell,2021,56.54,22.68
Andre Russell,2022,73.34,38.32
Andrew Flintoff,2009,16.26,7.04
Andrew McDonald,2009,6.47,10.35
Andrew McDonald,2010,1.96,0.0
Andrew McDonald,2011,15.48,12.6
Andrew McDonald,2012,7.28,0.0
Andrew McDonald,2013,18.83,27.4
Andrew Symonds,2009,51.1,0.0
Andrew Symonds,2010,24.07,13.14
Andrew Symonds,2011,20.88,10.74
Andrew Tye,2017,3.86,15.57
Andrew Tye,2018,16.56,50.46
Andrew Tye,2019,6.52,39.17
Andrew Tye,2020,3.86,20.19
Andrew Tye,2022,7.72,35.76
Angelo Mathews,2009,12.35,5.62
Angelo Mathews,2010,11.31,0.0
Angelo Mathews,2012,23.66,5.62
Angelo Mathews,2013,22.79,16.19
Angelo Mathews,2015,35.14,11.24
Angelo Mathews,2017,47.49,16.86
Aniket Choudhary,2017,6.27,11.51
Anil Kumble,2009,2.21,8.74
Anil Kumble,2010,2.0,33.17
Anirudh Singh,2010,11.55,0.0
Ankeet Chavan,2011,1.45,4.91
Ankeet Chavan,2012,0.63,0.0
Ankeet Chavan,2013,4.35,10.04
Ankit Bawne,2017,7.44,0.0
Ankit Rajpoot,2013,1.57,8.9
Ankit Rajpoot,2016,3.14,17.8
Ankit Rajpoot,2017,1.57,17.32
Ankit Rajpoot,2018,4.23,27.74
Ankit Rajpoot,2019,3.97,45.76
Ankit Rajpoot,2020,1.57,35.66
Ankit Sharma,2012,5.32,8.18
Ankit Sharma,2013,2.92,6.44
Ankit Sharma,2014,0.0,0.0
Ankit Sharma,2015,12.15,37.2
Ankit Sharma,2016,2.31,9.24
Ankit Sharma,2017,1.86,4.4
Ankit Sharma,2018,19.86,0.0
Ankit Soni,2017,1.53,4.18
Anmolpreet Singh,2021,7.85,0.0
Anmolpreet Singh,2022,19.19,0.0
Anrich Nortje,2020,0.71,18.67
Anrich Nortje,2021,2.25,16.47
Anrich Nortje,2022,0.71,40.59
Anuj Rawat,2021,5.75,0.0
Anuj Rawat,2022,0.0,0.0
Anukul Roy,2019,0.0,12.27
Anukul Roy,2022,0.0,24.54
Anureet Singh,2009,2.9,5.12
Anureet Singh,2015,5.8,10.24
Anureet Singh,2016,4.97,21.97
Anureet Singh,2017,2.9,10.24
Anureet Singh,2018,13.46,10.24
Anustup Majumdar,2012,16.15,0.0
Arindam Ghosh,2009,2.28,0.0
Arshdeep Singh,2019,0.76,12.62
Arshdeep Singh,2020,0.0,9.2
Arshdeep Singh,2021,0.0,21.86
Arshdeep Singh,2022,0.63,41.28
Arun Karthik,2010,3.32,0.0
Arun Karthik,2011,1.9,0.0
Arun Karthik,2013,5.22,0.0
Asad Pathan,2011,3.15,0.0
Asad Pathan,2012,7.44,0.0
Ashish Nehra,2009,0.69,10.95
Ashish Nehra,2010,0.62,32.61
Ashish Nehra,2012,2.21,27.26
Ashish Nehra,2013,5.63,21.14
Ashish Nehra,2014,2.37,33.67
Ashish Nehra,2015,2.21,54.82
Ashish Nehra,2016,2.39,53.3
Ashish Nehra,2017,3.01,48.29
Ashish Reddy,2012,8.85,8.24
Ashish Reddy,2013,4.7,22.18
Ashish Reddy,2015,13.55,16.48
