fullName,season,balls_bowled,conceded,wickets,MatchPlayed,4W_haul,5W_haul,dots,foursConceded,sixesConceded,wides,noballs,maidens,total_overs_bowled,economy,Bowling_strike_rate,average,Bowling_Quality,Bowling_Frequency,Bowling_Player_Impact,4W_factor,5W_factor,Bowling_Impact_Score
Shane Bond,2010,186.0,224,9,8,0,0,76,27,3,5,0,1,31.0,7.23,20.67,24.89,0.67,23.25,15.58,0.0,0.0,15.58
Shane Harwood,2009,60.0,73,3,3,0,0,34,6,2,7,0,0,10.0,7.3,20.0,24.33,0.68,20.0,13.6,0.0,0.0,13.6
Shane Warne,2008,312.0,404,19,15,0,0,112,23,19,7,0,1,52.0,7.77,16.42,21.26,0.78,20.8,16.22,0.0,0.0,16.22
Shane Warne,2009,300.0,365,14,13,0,0,113,22,14,13,0,0,50.0,7.3,21.43,26.07,0.64,23.08,14.77,0.0,0.0,14.77
Shane Warne,2010,300.0,381,11,14,1,0,99,25,15,5,0,0,50.0,7.62,27.27,34.64,0.48,21.43,10.29,0.07,0.0,10.65
Shane Warne,2011,282.0,297,13,12,0,0,118,21,8,4,0,0,47.0,6.32,21.69,22.85,0.73,23.5,17.16,0.0,0.0,17.16
Shane Watson,2008,325.0,383,17,15,0,0,166,53,6,14,5,0,54.1,7.08,19.12,22.53,0.74,21.67,16.04,0.0,0.0,16.04
Shane Watson,2010,132.0,184,6,6,0,0,62,25,4,7,0,0,22.0,8.36,22.0,30.67,0.54,22.0,11.88,0.0,0.0,11.88
Shane Watson,2011,216.0,241,6,10,0,0,85,21,3,9,1,0,36.0,6.69,36.0,40.17,0.42,21.6,9.07,0.0,0.0,9.07
Shane Watson,2012,138.0,161,6,7,0,0,66,23,2,5,1,1,23.0,7.0,23.0,26.83,0.62,19.71,12.22,0.0,0.0,12.22
Shane Watson,2013,250.0,298,13,13,0,0,114,31,8,6,0,0,41.4,7.2,19.23,22.92,0.72,19.23,13.85,0.0,0.0,13.85
Shane Watson,2014,126.0,165,7,9,0,0,61,21,5,5,3,1,21.0,7.86,18.0,23.57,0.71,14.0,9.94,0.0,0.0,9.94
Shane Watson,2015,174.0,269,6,10,0,0,66,26,9,17,2,1,29.0,9.28,29.0,44.83,0.37,17.4,6.44,0.0,0.0,6.44
Shane Watson,2016,339.0,485,20,16,1,0,125,45,18,20,1,0,56.3,8.61,16.95,24.25,0.69,21.19,14.62,0.06,0.0,15.06
Shane Watson,2017,161.0,245,5,8,0,0,48,28,7,4,0,0,26.5,9.25,32.2,49.0,0.34,20.12,6.84,0.0,0.0,6.84
Shane Watson,2018,168.0,251,6,11,0,0,57,19,12,8,0,0,28.0,8.96,28.0,41.83,0.4,15.27,6.11,0.0,0.0,6.11
Shardul Thakur,2015,18.0,38,1,1,0,0,6,4,2,2,0,0,3.0,12.67,18.0,38.0,0.44,18.0,7.92,0.0,0.0,7.92
Shardul Thakur,2017,229.0,315,11,12,0,0,89,39,5,10,0,0,38.1,8.27,20.82,28.64,0.58,19.08,11.07,0.0,0.0,11.07
